Date,Actual,Prophet,SARIMAX,RandomForest,XGBoost
2025-01-31,30144,67108.46562863137,67985.96892255833,81984.15,66942.47
2025-02-01,40756,61148.04216837258,79533.86586898666,56996.48,44744.742
2025-02-02,44471,50876.44003549602,47473.574590335484,66619.77,59702.64
2025-02-03,63548,59536.92514899141,59841.075468199735,58125.38,49579.734
2025-02-04,81802,61100.072117855416,51260.310582201666,74262.21,77164.13
2025-02-05,68732,54380.3813793444,59511.58781596673,66551.0,57720.77
2025-02-06,72744,57070.62341383337,54107.10300801754,46100.43,42299.434
2025-02-07,16361,67038.9012461768,65353.56917165312,74678.57,62007.51
2025-02-08,55551,61078.477785897296,70475.4667610676,46341.03,33596.594
2025-02-09,41440,50806.87565303053,48055.70142667972,64422.46,58124.91
2025-02-10,32288,59467.36076653701,62402.09213783444,51817.32,53453.152
2025-02-11,20442,61030.50773539326,53795.785685491246,69953.97,64571.008
2025-02-12,17520,54310.81699687748,61533.98697152042,59864.48,69850.97
2025-02-13,90955,57001.059031375305,56566.51658174607,38288.77,37450.957
2025-02-14,66792,66969.33686371605,65293.199171904256,48676.45,39967.76
2025-02-15,57812,61008.91340342202,69954.9166798973,47245.46,52039.742
2025-02-16,29203,50737.31127057266,48225.530812331155,51381.03,57571.824
2025-02-17,40871,59397.7963840826,62713.63421798623,75819.42,61966.74
2025-02-18,40801,60960.94335292569,54105.49867736961,56013.18,46942.855
2025-02-19,134904,54241.25261441548,61806.957455648124,72609.52,80179.04
2025-02-20,52284,56931.49464892957,56870.782638620454,61640.54,69897.14
2025-02-21,33343,66899.77248123621,65417.017932648254,51035.89,47545.887
2025-02-22,58066,60939.34902095671,70045.78092331703,41274.47,48636.75
2025-02-23,28986,50667.74688810996,48365.83466215327,61840.64,54138.37
2025-02-24,66406,59328.23200162815,62864.08642849261,47279.42,57096.812
2025-02-25,90452,60891.37897046082,54255.81990280377,58885.5,54525.63
2025-02-26,30421,54171.6882319535,61954.64746852639,72439.63,44959.3
2025-02-27,51340,56861.93026642533,57020.71379694567,46620.87,49349.727
2025-02-28,48861,66830.20809877545,65554.02685946776,51932.19,55048.117
2025-03-01,22663,60869.78463848143,70180.4299039852,67022.65,57212.395
